식재료명(통합),제공 기준량,단위,평균 에너지(kcal)
연어류_연어_전체_구운것,100,g,223
배추_알배기_찐것,100,g,18
마늘_구근_생것,100,g,128
두충차_분말화한것,100,g,354
찹쌀_칼슘쌀_생것,100,g,361
메밀 냉면_말린것을 삶은것,100,g,141
얼갈이배추_데친것,100,g,13
고구마_줄기_생것,100,g,18
포타벨라_생것,100,g,16
쏨뱅이류_고무꺽정이_육_생것,100,g,78
보리_찰보리_할맥,100,g,362
참빗살나무_잎_생것,100,g,61
양미리_육_말린것,100,g,234
파래류_잎파래_전체_데친것,100,g,16
쑥갓_생것,100,g,15
호박_쥬키니_생것,100,g,31
소 부산물_간_구운것(팬),100,g,175
대합류_대합_전체_생것,100,g,103
기름종개류_미꾸라지_육_생것,100,g,144
송어류_송어_육_구운것,100,g,170
타라곤_말린것,100,g,295
우엉_데친것,100,g,52
으름_생것,100,g,158
모과_생것,100,g,78
동부_생것,100,g,166
바리류_대왕자바리_육_생것,100,g,117
멥쌀_배아미_생것,100,g,343
새우류_젓새우_육_조린것,100,g,255
순무_전체_데친것,100,g,28
애꼬치_육_생것,100,g,152
멥쌀 국수_말린것,100,g,340
토마토_생것,100,g,19
멥쌀_팔방미_백미_생것,100,g,366
포도_흑보석_생것,100,g,52
게류_대게_육_생것,100,g,79
기장_찰기장+황실찰_도정_생것,100,g,368
멥쌀_알찬미_현미_생것,100,g,365
보리밥_겉보리,100,g,144
새우류_중하_육_생것,100,g,94
천마_찐것,100,g,81
옥수수_단옥3호_생것,100,g,137
돼지고기_뒷다리_삶은것,100,g,211
옥수수_청안옥_말린것,100,g,360
소금_천일염_토판염,100,g,16
바지락_육_찐것,100,g,145
멥쌀_하이아미_백미_생것,100,g,367
어린양 부산물_수입산(미국산)_간_삶은것,100,g,220
돼지기름,100,g,915
말고기_살코기_생것,100,g,102
퉁퉁마디(함초)_하우스_생것,100,g,19
영지버섯_말린것,100,g,187
